지역,음식점명,주소,대표메뉴,가격대,혼밥추천이유,주변놀거리,설명
홍대,옥동식,서울 마포구 양화로7길 44-10,돼지곰탕,12000~15000원,바 테이블이 있어 혼밥하기 편함,홍대 걷고싶은거리,깔끔하고 깊은 맛의 돼지곰탕으로 유명한 맛집
홍대,오레노라멘,서울 마포구 동막로8길 16,돈코츠라멘,10000~15000원,혼자 방문하는 손님이 많음,연남동 카페거리,진한 일본식 돈코츠라멘 전문점
홍대,윤씨밀방,서울 마포구 독막로15길 3-14,함박스테이크,12000~18000원,1인 손님 방문이 많음,홍대 버스킹거리,부드러운 함박스테이크가 인기인 레스토랑
홍대,또보겠지떡볶이집,서울 마포구 양화로19길 22-25,즉석떡볶이,10000~15000원,혼밥 가능 좌석 보유,홍대 걷고싶은거리,홍대 대표 떡볶이 맛집
홍대,우동카덴,서울 마포구 양화로7안길 2-1,붓카케우동,10000~14000원,회전율이 빨라 혼밥 추천,합정 카페거리,정통 일본식 우동 전문점
홍대,홍대부대찌개,서울 마포구 홍익로5안길 34,부대찌개,10000~15000원,점심 혼밥 손님 많음,홍대 쇼핑거리,푸짐한 부대찌개가 인기
홍대,신미경홍대닭갈비,서울 마포구 와우산로21길 31-10,닭갈비,12000~18000원,1인 주문 가능,홍대 메인거리,매콤한 닭갈비 전문점
홍대,새마을식당 홍대서교점,서울 마포구 어울마당로 144,열탄불고기,10000~17000원,혼자 고기 먹기 가능,홍대 걷고싶은거리,백종원 브랜드 고깃집
홍대,돈수백 홍대점,서울 마포구 홍익로 15,국밥,10000~13000원,혼밥 손님 비율 높음,홍대입구역 주변,돼지국밥 전문점
홍대,강남돼지상회 홍대점,서울 마포구 홍익로5안길 28,삼겹살,15000~25000원,점심 1인 식사 가능,홍대 쇼핑거리,가성비 좋은 고깃집

성수,성수다락,서울 성동구 뚝섬로9길 20,오므라이스,12000~17000원,조용한 분위기,서울숲,감성적인 분위기의 양식당
성수,스케줄 성수,서울 성동구 아차산로 104,파스타,18000~25000원,1인 방문 가능,성수 카페거리,트렌디한 이탈리안 레스토랑
성수,브라이비트,서울 성동구 성수동1가 13-191,브런치,15000~22000원,혼자 식사 가능,서울숲,유럽 감성 브런치 카페
성수,쵸리상경,서울 성동구 연무장길 33,중식요리,15000~25000원,혼자 먹기 좋은 메뉴 보유,성수 팝업거리,중식 퓨전 맛집
성수,난포 성수점,서울 성동구 서울숲4길 18,강된장쌈밥,14000~20000원,혼밥 손님 많음,서울숲,한식 감성 맛집
성수,다운타우너 성수점,서울 성동구 연무장길 31,수제버거,12000~18000원,1인 좌석 이용 가능,성수 카페거리,수제버거 맛집
성수,제스티살룬 성수점,서울 성동구 성수이로 18,쉬림프버거,13000~19000원,혼자 방문 가능,성수 팝업스토어,인기 버거 맛집
성수,어니언 성수,서울 성동구 아차산로9길 8,베이커리,5000~15000원,카페 혼자 이용 가능,성수 카페거리,공장을 개조한 유명 카페
성수,대림창고,서울 성동구 성수이로 78,커피와 디저트,7000~18000원,혼자 작업하기 좋음,성수 문화거리,성수 대표 대형 카페
성수,소문난성수감자탕,서울 성동구 연무장길 45,감자탕,12000~18000원,1인 식사 가능,서울숲,오래된 성수 맛집

명동,왕비집 본점,서울 중구 명동8가길 26,한우구이,20000~40000원,1인 식사 가능,명동 쇼핑거리,외국인 관광객에게 인기
명동,명동식당 더식당,서울 중구 명동10길 36,한식정식,12000~18000원,혼밥 손님 많음,명동성당,다양한 한식을 맛볼 수 있음
명동,COW&PIG 명동점,서울 중구 명동8길 38-14,스테이크,20000~35000원,1인 세트 메뉴 제공,명동 쇼핑거리,고급 양식 레스토랑
명동,명동교자 본점,서울 중구 명동10길 29,칼국수,12000~15000원,회전율이 빨라 혼밥 추천,명동성당,서울 대표 칼국수 맛집
명동,하동관 명동본점,서울 중구 명동9길 12,곰탕,14000~18000원,혼밥 손님 비율 높음,을지로 거리,100년 전통 곰탕집
명동,유가네 명동점,서울 중구 명동8나길 6,닭갈비,12000~18000원,1인 메뉴 가능,명동 쇼핑거리,매콤한 닭갈비 전문점
명동,오다리집,서울 중구 명동8나길 28,간장게장,25000~40000원,혼자 식사 가능,명동 야시장,한국 전통 해산물 요리
명동,만족오향족발 시청점,서울 중구 서소문로 134,족발,20000~35000원,점심 혼밥 가능,덕수궁,서울 대표 족발 맛집
명동,명동돈가스,서울 중구 명동3길 8,돈가스,12000~17000원,혼자 먹기 좋은 메뉴,명동성당,옛날식 돈가스 맛집
명동,유천냉면 명동점,서울 중구 명동길 26,물냉면,12000~15000원,혼밥 손님 많음,명동 쇼핑거리,시원한 냉면 전문점
